groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
3,11,2,19,2,practice,72,120,0.03,0.6,square,stranger,j,f,0.234281399985775,0
3,11,2,19,2,practice,73,120,0.03,0.6,circle,self,j,j,0.234218199970201,1
3,11,2,19,2,practice,74,120,0.03,0.6,circle,stranger,f,j,0.234170899959281,0
3,11,2,19,2,practice,75,120,0.03,0.6,square,self,f,j,0.2353032999672,0
3,11,2,19,2,practice,76,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,practice,77,120,0.03,0.6,circle,stranger,f,j,0.274649900035001,0
3,11,2,19,2,practice,78,120,0.03,0.6,square,self,f,f,0.235229499987327,1
3,11,2,19,2,practice,79,120,0.03,0.6,square,stranger,j,j,0.234110899968073,1
3,11,2,19,2,practice,80,120,0.03,0.6,circle,self,j,j,0.234234600095078,1
3,11,2,19,2,practice,81,120,0.03,0.6,square,self,f,j,0.23450729995966,0
3,11,2,19,2,practice,82,120,0.03,0.6,circle,self,j,j,0.234338400070556,1
3,11,2,19,2,practice,83,120,0.03,0.6,circle,stranger,f,j,0.335249299998395,0
3,11,2,19,2,practice,84,120,0.03,0.6,square,stranger,j,j,0.234631000086665,1
3,11,2,19,2,practice,85,120,0.03,0.6,circle,self,j,j,0.287130300072022,1
3,11,2,19,2,practice,86,120,0.03,0.6,square,self,f,j,0.467490099952556,0
3,11,2,19,2,practice,87,120,0.03,0.6,circle,stranger,f,j,0.259913699934259,0
3,11,2,19,2,practice,88,120,0.03,0.6,square,stranger,j,j,0.234316300018691,1
3,11,2,19,2,practice,89,120,0.03,0.6,circle,stranger,f,j,0.30901059997268,0
3,11,2,19,2,practice,90,120,0.03,0.6,square,self,f,j,0.234242900041863,0
3,11,2,19,2,practice,91,120,0.03,0.6,square,stranger,j,j,0.234575100010261,1
3,11,2,19,2,practice,92,120,0.03,0.6,circle,self,j,j,0.335185699979775,1
3,11,2,19,2,practice,93,120,0.03,0.6,circle,self,j,j,0.289861600031145,1
3,11,2,19,2,practice,94,120,0.03,0.6,square,self,f,j,0.306463900022209,0
3,11,2,19,2,practice,95,120,0.03,0.6,circle,stranger,f,f,0.240395599976182,1
3,11,2,19,2,practice,96,120,0.03,0.6,square,stranger,j,f,0.290112099959515,0
3,11,2,19,2,practice,97,120,0.03,0.6,circle,stranger,f,j,0.268360699992627,0
3,11,2,19,2,practice,98,120,0.03,0.6,circle,self,j,j,0.234140500077046,1
3,11,2,19,2,practice,99,120,0.03,0.6,square,self,f,j,0.234259199933149,0
3,11,2,19,2,practice,100,120,0.03,0.6,square,stranger,j,j,0.234296499984339,1
3,11,2,19,2,practice,101,120,0.03,0.6,circle,self,j,j,0.23457089997828,1
