subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
1,1,84,160,346,506,stranger,0.8300842373513594,1.423499327237612,0.2,1.4049883703711494,0.20700000000000002,1
1,2,84,160,346,506,self,4.334654890664833,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,3,84,160,346,506,stranger,0.40139340706924653,1.423499327237612,0.2,1.4049883703711494,0.6070000000000003,1
1,4,84,160,346,506,self,3.792259767040082,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,5,84,160,346,506,self,4.1709038079418645,1.423499327237612,0.2,1.4049883703711494,0.21700000000000003,1
1,6,84,160,346,506,self,4.079370362369188,1.423499327237612,0.2,1.4049883703711494,0.24000000000000005,1
1,7,84,160,346,506,stranger,1.5269969060629411,1.423499327237612,0.2,1.4049883703711494,0.3110000000000001,1
1,8,84,160,346,506,stranger,0.8404298373516607,1.423499327237612,0.2,1.4049883703711494,0.20700000000000002,1
1,9,84,160,346,506,self,4.5964513552169235,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,10,84,160,346,506,stranger,0.09343373799561228,1.423499327237612,0.2,1.4049883703711494,0.21500000000000002,1
1,11,84,160,346,506,stranger,0.3636590634658138,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,12,84,160,346,506,stranger,-0.3285535576216999,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,13,84,160,346,506,self,4.245469417811621,1.423499327237612,0.2,1.4049883703711494,0.203,1
1,14,84,160,346,506,stranger,1.213402371477005,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,15,84,160,346,506,self,3.750741525118485,1.423499327237612,0.2,1.4049883703711494,0.21200000000000002,1
1,16,84,160,346,506,self,5.137015887243684,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,17,84,160,346,506,stranger,1.1132656923261601,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,18,84,160,346,506,self,5.249741372996374,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,19,84,160,346,506,self,3.922204308612876,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,20,84,160,346,506,stranger,0.7645020955155571,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,21,84,160,346,506,self,4.236551614417692,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,22,84,160,346,506,stranger,-0.17072509237332678,1.423499327237612,0.2,1.4049883703711494,0.20600000000000002,1
1,23,84,160,346,506,stranger,0.770830197702482,1.423499327237612,0.2,1.4049883703711494,0.20400000000000001,1
1,24,84,160,346,506,stranger,1.2484058792002446,1.423499327237612,0.2,1.4049883703711494,0.20500000000000002,1
1,25,84,160,346,506,stranger,0.9892189967409023,1.423499327237612,0.2,1.4049883703711494,0.3230000000000001,1
1,26,84,160,346,506,stranger,0.28762023010088167,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,27,84,160,346,506,stranger,0.8625118444224739,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,28,84,160,346,506,stranger,0.6349033696667942,1.423499327237612,0.2,1.4049883703711494,0.203,1
1,29,84,160,346,506,self,3.6190917183151785,1.423499327237612,0.2,1.4049883703711494,0.2750000000000001,1
1,30,84,160,346,506,self,4.514841103968051,1.423499327237612,0.2,1.4049883703711494,0.20400000000000001,1
1,31,84,160,346,506,stranger,0.5505549277062035,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,32,84,160,346,506,stranger,-0.05944887617371597,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,33,84,160,346,506,self,4.083315625920916,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,34,84,160,346,506,self,4.096938623746481,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,35,84,160,346,506,self,3.646420990943224,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,36,84,160,346,506,self,4.759287579020101,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,37,84,160,346,506,stranger,0.8724114998767233,1.423499327237612,0.2,1.4049883703711494,0.21200000000000002,1
1,38,84,160,346,506,stranger,0.0516710623429284,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,39,84,160,346,506,self,5.25928415970093,1.423499327237612,0.2,1.4049883703711494,0.22000000000000003,1
1,40,84,160,346,506,self,3.9122333423781153,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,41,84,160,346,506,stranger,0.39929933582274946,1.423499327237612,0.2,1.4049883703711494,0.21700000000000003,1
1,42,84,160,346,506,stranger,0.07571078878741977,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,43,84,160,346,506,stranger,1.4697252590371277,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,44,84,160,346,506,stranger,0.863569074435803,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,45,84,160,346,506,self,3.8108975061422936,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,46,84,160,346,506,self,4.175375086618994,1.423499327237612,0.2,1.4049883703711494,0.201,1
1,47,84,160,346,506,self,4.439179616285591,1.423499327237612,0.2,1.4049883703711494,0.21600000000000003,1
1,48,84,160,346,506,stranger,1.3061167526962878,1.423499327237612,0.2,1.4049883703711494,0.202,1
1,49,84,160,346,506,stranger,1.3229032472984361,1.423499327237612,0.2,1.4049883703711494,0.20500000000000002,1
1,50,84,160,346,506,self,4.353672303204242,1.423499327237612,0.2,1.4049883703711494,0.20500000000000002,1
1,51,84,160,346,506,self,3.9530480840828797,1.423499327237612,0.2,1.4049883703711494,0.20400000000000001,1
1,52,84,160,346,506,self,3.971018093938104,1.423499327237612,0.2,1.4049883703711494,0.20500000000000002,1
