groupID,subjectID,label,T,W,TW_max,n_formal,n_rt,rt_mean_ms,rt_median_ms,rt_std_ms,rt_min_ms,rt_max_ms,rt_5pct_ms,rt_95pct_ms
5,3,D5,0.1,1.1,1.2000000000000002,520,469,732.3,727.8,171.3,304.2,1178.2,489.6,1047.7
5,4,D5,0.1,1.1,1.2000000000000002,520,420,768.5,744.9,182.5,311.9,1194.2,519.9,1111.3
5,5,D5,0.1,1.1,1.2000000000000002,520,498,788.8,776.9,159.2,303.4,1192.9,552.3,1084.6
5,6,D5,0.1,1.1,1.2000000000000002,520,510,806.5,784.2,136.9,535.3,1177.8,616.5,1065.4
5,7,D5,0.1,1.1,1.2000000000000002,520,508,672.9,665.0,153.9,377.0,1194.0,441.4,953.3
5,8,D5,0.1,1.1,1.2000000000000002,520,481,598.4,582.6,163.9,303.5,1145.5,346.6,888.4
6,1,D6,0.5,1.5,2.0,520,504,894.3,872.8,149.1,703.2,1521.9,703.8,1159.5
6,10,D6,0.5,1.5,2.0,520,485,895.8,827.5,219.2,703.2,1829.8,703.6,1397.3
6,12,D6,0.5,1.5,2.0,520,514,987.8,903.9,275.0,702.8,1960.8,703.3,1590.5
6,13,D6,0.5,1.5,2.0,520,513,935.7,890.7,205.7,703.4,1848.2,705.2,1321.4
6,15,D6,0.5,1.5,2.0,520,488,809.7,723.4,176.6,703.1,1975.2,704.5,1163.5
6,16,D6,0.5,1.5,2.0,520,428,818.8,746.3,156.7,703.6,1691.6,704.3,1161.1
6,3,D6,0.5,1.5,2.0,520,505,1066.1,976.8,299.0,703.1,1961.0,704.3,1674.4
6,4,D6,0.5,1.5,2.0,520,504,1029.1,938.7,304.6,703.1,1947.5,704.2,1686.3
6,5,D6,0.5,1.5,2.0,520,477,887.1,761.1,272.4,703.1,1963.0,703.3,1569.8
6,9,D6,0.5,1.5,2.0,520,509,834.3,765.3,179.3,703.3,1685.7,703.8,1226.1
7,1,D3b,0.03,0.8,0.8300000000000001,520,413,615.3,611.9,111.3,284.5,871.3,437.6,823.1
7,10,D3b,0.03,0.8,0.8300000000000001,520,508,644.8,632.8,78.3,426.2,872.8,534.5,777.1
7,11,D3b,0.03,0.8,0.8300000000000001,520,270,682.8,695.7,140.0,293.9,886.6,407.9,871.5
7,12,D3b,0.03,0.8,0.8300000000000001,520,508,585.9,583.6,109.6,327.7,873.1,408.8,775.9
7,2,D3b,0.03,0.8,0.8300000000000001,520,480,637.9,633.8,98.1,376.3,878.0,488.2,823.2
7,3,D3b,0.03,0.8,0.8300000000000001,520,413,646.9,634.2,119.6,283.7,880.0,442.0,855.9
7,4,D3b,0.03,0.8,0.8300000000000001,520,441,647.8,633.6,111.7,392.1,877.2,488.3,840.6
7,5,D3b,0.03,0.8,0.8300000000000001,520,499,603.2,583.5,99.9,284.3,873.9,456.8,805.0
7,6,D3b,0.03,0.8,0.8300000000000001,520,371,659.8,650.8,114.6,284.2,877.3,487.7,847.5
7,7,D3b,0.03,0.8,0.8300000000000001,520,481,631.0,616.9,100.8,346.5,872.6,456.9,808.6
7,8,D3b,0.03,0.8,0.8300000000000001,520,450,400.9,288.0,176.8,283.0,879.2,284.3,814.7
7,9,D3b,0.03,0.8,0.8300000000000001,520,457,419.3,412.1,130.6,233.1,810.2,234.5,650.6
8,1,D4b,0.08,0.8,0.88,520,413,615.3,611.9,111.3,284.5,871.3,437.6,823.1
8,10,D4b,0.08,0.8,0.88,520,508,644.8,632.8,78.3,426.2,872.8,534.5,777.1
8,11,D4b,0.08,0.8,0.88,520,270,682.8,695.7,140.0,293.9,886.6,407.9,871.5
8,12,D4b,0.08,0.8,0.88,520,508,585.9,583.6,109.6,327.7,873.1,408.8,775.9
8,2,D4b,0.08,0.8,0.88,520,480,637.9,633.8,98.1,376.3,878.0,488.2,823.2
8,3,D4b,0.08,0.8,0.88,520,413,646.9,634.2,119.6,283.7,880.0,442.0,855.9
8,4,D4b,0.08,0.8,0.88,520,441,647.8,633.6,111.7,392.1,877.2,488.3,840.6
8,5,D4b,0.08,0.8,0.88,520,499,603.2,583.5,99.9,284.3,873.9,456.8,805.0
8,6,D4b,0.08,0.8,0.88,520,371,659.8,650.8,114.6,284.2,877.3,487.7,847.5
8,7,D4b,0.08,0.8,0.88,520,481,631.0,616.9,100.8,346.5,872.6,456.9,808.6
8,8,D4b,0.08,0.8,0.88,520,450,400.9,288.0,176.8,283.0,879.2,284.3,814.7
